Attrition_Flag,Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Avg_Open_To_Buy,Avg_Utilization_Ratio,Attrition E,Gender E
Existing Customer,57,M,2,52,5,3,3,4767,0.276,0,0
Existing Customer,44,F,2,20,6,3,3,616,0.704,0,1
Existing Customer,49,M,2,32,2,2,2,580,0.656,0,0
Existing Customer,50,M,2,38,6,2,2,23970,0.053,0,0
Existing Customer,51,M,4,42,3,2,3,32753,0.051,0,0
Existing Customer,55,F,2,42,5,3,3,1182,0.467,0,1
Existing Customer,54,M,1,43,4,2,3,880,0.698,0,0
Existing Customer,42,M,5,37,6,2,2,21385,0.067,0,0
Existing Customer,44,M,1,35,3,3,3,22380,0.079,0,0
Existing Customer,53,M,2,36,5,3,2,3757,0.287,0,0
Existing Customer,44,F,4,36,6,4,2,4483,0.36,0,1
Existing Customer,37,F,3,29,4,4,2,5237,0.256,0,1
Existing Customer,49,M,3,30,6,1,2,713,0.719,0,0
Existing Customer,47,M,2,38,6,3,2,27005,0.066,0,0
Existing Customer,47,M,3,37,4,4,0,6872,0.198,0,0
Existing Customer,44,M,1,36,6,2,2,32983,0.044,0,0
Attrited Customer,55,F,4,45,2,4,3,2158,0,1,1
Existing Customer,59,F,1,52,2,3,3,8716,0.14,0,1
Existing Customer,53,M,1,35,5,4,2,33297,0.035,0,0
Existing Customer,52,M,2,47,5,3,0,1175,0.619,0,0
Existing Customer,53,M,2,35,4,2,1,16984,0.108,0,0
Existing Customer,43,F,3,35,5,2,3,4026,0,0,1
Existing Customer,44,M,3,31,4,3,1,11919,0.066,0,0
Existing Customer,57,M,2,45,5,3,3,5266,0,0,0
Existing Customer,51,F,2,36,3,2,2,9930,0,0,1
Existing Customer,49,M,4,38,4,3,0,29349,0.062,0,0
Existing Customer,45,M,1,36,4,4,3,6576,0,0,0
Existing Customer,53,M,0,42,5,4,1,627,0.765,0,0
Existing Customer,45,F,3,28,5,1,2,95,0.963,0,1
Existing Customer,64,M,1,52,6,4,3,814,0.524,0,0
Existing Customer,45,M,3,35,5,4,2,2254,0.347,0,0
Existing Customer,53,M,3,35,5,3,2,2083,0.45,0,0
Existing Customer,56,M,3,50,3,2,0,7439,0.232,0,0
Attrited Customer,47,M,2,37,2,3,3,3821,0.299,1,0
Existing Customer,49,F,3,43,4,4,0,21072,0.085,0,1
Existing Customer,41,F,3,34,5,3,3,32463,0.059,0,1
Existing Customer,53,M,3,34,6,2,2,1676,0.43,0,0
Existing Customer,44,F,2,32,3,3,3,1152,0.62,0,1
Existing Customer,44,M,3,25,3,3,0,1862,0,0,0
Existing Customer,43,F,4,33,2,3,3,7432,0.111,0,1
Existing Customer,53,M,2,36,6,1,2,33585,0.027,0,0
Existing Customer,44,M,1,36,5,2,3,12010,0.169,0,0
Existing Customer,62,F,1,56,6,0,0,1438.3,0,0,1
Existing Customer,54,M,4,36,6,3,2,31831,0.058,0,0
Existing Customer,57,M,4,39,4,3,0,6580,0.223,0,0
Existing Customer,42,M,3,36,5,3,3,14223,0.057,0,0
Existing Customer,42,M,4,36,5,1,2,1589,0.513,0,0
Existing Customer,54,F,0,36,2,2,2,788,0.473,0,1
Existing Customer,48,M,3,35,6,1,0,12257,0.095,0,0
Existing Customer,49,M,1,36,6,2,2,17991,0.047,0,0
Existing Customer,52,M,3,48,3,2,0,10703,0.106,0,0
Existing Customer,50,M,3,39,4,1,4,8405,0.156,0,0
Existing Customer,49,M,1,36,4,6,3,22963,0.05,0,0
Existing Customer,53,F,2,44,3,2,3,3461,0.355,0,1
Existing Customer,50,M,2,36,3,2,2,33493,0.03,0,0
Existing Customer,55,F,1,36,4,1,0,1223,0.615,0,1
Existing Customer,53,M,1,47,3,2,2,10426,0.15,0,0
Existing Customer,47,F,3,41,4,3,3,2248,0.407,0,1
Existing Customer,55,M,2,42,2,3,2,32989,0.044,0,0
Existing Customer,47,M,3,36,4,2,2,2926,0,0,0
Existing Customer,58,M,4,52,6,1,0,32090,0,0,0
Attrited Customer,53,M,2,41,3,3,2,9442,0.191,1,0
Existing Customer,52,M,2,45,3,1,2,12232,0.096,0,0
Existing Customer,50,F,1,36,4,2,2,9798,0.176,0,1
Existing Customer,42,F,1,36,5,1,2,408,0.83,0,1
Existing Customer,43,M,4,39,5,1,2,3594,0.412,0,0
Existing Customer,57,M,4,46,3,2,3,17608,0.086,0,0
Existing Customer,52,M,1,43,3,1,4,1193,0.678,0,0
Existing Customer,47,M,2,37,2,1,3,2438,0.246,0,0
Existing Customer,44,F,3,38,3,1,0,10961,0.067,0,1
Existing Customer,53,M,2,36,5,3,2,5653,0.271,0,0
Existing Customer,45,M,4,40,5,1,0,9222,0.114,0,0
Existing Customer,63,F,1,36,6,2,3,2399,0.395,0,1
Existing Customer,39,F,2,27,4,2,2,3688,0.406,0,1
Attrited Customer,48,F,5,38,1,3,3,8025,0,1,1
Existing Customer,51,M,1,42,6,2,3,6709,0.258,0,0
Existing Customer,54,M,4,34,2,3,2,12409,0.169,0,0
Existing Customer,59,F,1,36,3,2,3,5207,0.178,0,1
Attrited Customer,59,M,1,53,2,3,3,14979,0,1,0
Attrited Customer,48,F,4,38,3,2,3,2732,0,1,1
Existing Customer,41,F,2,32,6,3,2,133,0.941,0,1
Existing Customer,55,M,2,50,3,2,0,9380,0.141,0,0
Existing Customer,47,F,4,36,4,1,3,4121,0.23,0,1
Existing Customer,41,M,2,24,4,1,3,8262,0.118,0,0
Existing Customer,40,M,3,28,5,1,0,21617,0,0,0
Existing Customer,68,M,1,56,5,2,3,12208,0.119,0,0
Existing Customer,50,F,1,31,2,2,3,18386,0,0,1
Existing Customer,47,M,4,41,6,2,2,865,0.64,0,0
Existing Customer,53,F,1,47,4,2,3,1224,0.432,0,1
Existing Customer,42,F,5,36,3,3,3,2038,0,0,1
Existing Customer,48,F,4,38,6,1,3,8135,0,0,1
Existing Customer,49,M,1,38,6,1,3,8746,0.066,0,0
Existing Customer,44,F,2,35,4,3,2,32643,0,0,1
Existing Customer,43,F,4,34,2,3,1,1241,0.612,0,1
Existing Customer,56,M,0,43,5,2,1,1828,0.359,0,0
Existing Customer,59,F,1,36,2,3,3,2919,0.309,0,1
Existing Customer,46,M,1,36,3,2,2,18388,0.101,0,0
Existing Customer,47,F,4,41,6,5,3,1368,0.607,0,1
Existing Customer,50,F,4,40,5,2,3,1495,0.512,0,1
Existing Customer,51,F,3,43,3,1,2,424,0.806,0,1
Existing Customer,47,F,3,36,4,1,0,865,0.463,0,1
Existing Customer,58,F,4,47,3,3,3,649,0.77,0,1
Attrited Customer,46,M,5,33,6,3,3,30458,0.076,1,0
Existing Customer,53,M,3,47,5,2,2,1438.3,0,0,0
Existing Customer,45,F,4,36,4,3,3,14156,0.108,0,1
Existing Customer,52,F,1,45,6,3,3,5810,0.133,0,1
Attrited Customer,53,M,2,36,2,2,1,3212,0,1,0
Existing Customer,50,M,2,45,3,1,3,33256,0.037,0,0
Existing Customer,41,F,3,36,4,1,2,8363,0.146,0,1
Existing Customer,45,F,5,36,5,2,2,8623,0.171,0,1
Existing Customer,53,M,3,42,2,1,2,24956,0.069,0,0
Existing Customer,67,F,1,56,4,3,2,489,0.837,0,1
Existing Customer,57,F,2,36,6,3,0,18410,0.055,0,1
Existing Customer,59,F,1,36,4,2,3,2371,0.294,0,1
Existing Customer,45,M,2,34,3,2,1,3523,0.39,0,0
Existing Customer,51,M,3,36,6,2,3,8999,0.19,0,0
Existing Customer,59,F,1,54,5,3,0,889,0.692,0,1
Existing Customer,53,M,1,45,6,2,2,1679,0.503,0,0
Existing Customer,47,M,3,36,2,1,2,20080,0.059,0,0
Existing Customer,49,F,3,38,6,2,1,12860,0,0,1
Existing Customer,49,M,3,33,3,1,0,5816,0.074,0,0
Existing Customer,60,F,0,55,5,1,3,700.3,0.513,0,1
Existing Customer,50,F,2,36,5,1,2,7729,0.174,0,1
Existing Customer,41,F,2,31,6,1,3,20758,0,0,1
Existing Customer,57,M,1,47,5,3,1,12636,0.135,0,0
Existing Customer,43,M,4,27,5,2,0,27259,0,0,0
Existing Customer,57,F,3,47,4,2,3,4753,0.251,0,1
Existing Customer,54,M,3,41,3,3,0,19916,0.078,0,0
Existing Customer,51,F,5,44,5,1,1,1851,0.463,0,1
Existing Customer,47,F,3,34,2,1,2,5229,0.133,0,1
Existing Customer,41,M,0,36,3,2,3,16216,0.11,0,0
Existing Customer,53,M,3,43,3,3,1,14970,0.087,0,0
Attrited Customer,68,M,0,52,1,3,2,538.3,0.626,1,0
Existing Customer,59,M,1,36,4,1,2,6184,0.214,0,0
Existing Customer,48,M,4,36,5,3,0,4422,0.164,0,0
Existing Customer,44,M,5,32,4,5,3,9370,0.176,0,0
Existing Customer,48,M,3,41,4,5,3,10670,0.133,0,0
Existing Customer,47,M,4,33,3,2,1,32837,0.049,0,0
Existing Customer,47,M,2,32,4,2,2,33048,0.043,0,0
Existing Customer,43,F,1,35,3,2,2,8934,0.15,0,1
Attrited Customer,55,F,2,43,2,4,3,1438.3,0,1,1
Attrited Customer,59,M,2,46,3,3,3,1438.3,0,1,0
Existing Customer,63,M,1,56,2,1,2,840,0.679,0,0
Existing Customer,58,M,2,53,2,3,0,22012,0.098,0,0
Existing Customer,53,F,2,36,4,1,2,728,0.694,0,1
Existing Customer,59,M,0,40,3,2,3,33157,0.039,0,0
Existing Customer,52,M,3,47,5,3,3,8879,0.199,0,0
Existing Customer,48,M,3,36,4,2,2,8915,0.22,0,0
Existing Customer,43,M,4,36,5,3,2,11537,0.13,0,0
Existing Customer,48,M,2,36,3,2,3,616,0.76,0,0
Existing Customer,43,F,4,31,5,2,0,4613,0.202,0,1
Existing Customer,44,M,4,30,5,1,2,5363,0.319,0,0
Existing Customer,41,M,3,35,6,1,2,33314,0.035,0,0
Existing Customer,44,F,3,38,4,1,3,9292,0.165,0,1
Existing Customer,50,M,2,43,2,1,3,254,0.863,0,0
Existing Customer,60,F,1,36,5,1,0,641,0.665,0,1
Existing Customer,44,M,4,24,5,3,0,1544,0.598,0,0
Existing Customer,48,F,3,39,6,2,3,974,0.539,0,1
Existing Customer,44,F,2,27,5,2,2,759.3,0.472,0,1
Existing Customer,41,M,2,28,4,3,0,25967,0.064,0,0
Existing Customer,45,M,3,32,4,1,2,1438.3,0,0,0
Existing Customer,47,F,2,34,6,4,2,11656,0.16,0,1
Existing Customer,51,F,2,36,3,1,3,1802,0.42,0,1
Existing Customer,51,M,2,44,4,3,3,32850,0.048,0,0
Attrited Customer,60,F,1,50,4,4,3,413.3,0.713,1,1
Existing Customer,57,M,2,46,2,3,0,17131,0.092,0,0
Existing Customer,41,M,5,29,5,2,2,3459,0.336,0,0
Existing Customer,44,M,3,36,6,2,2,16321,0.092,0,0
Existing Customer,43,M,1,37,6,3,3,914,0.666,0,0
Existing Customer,55,M,2,48,4,3,2,7562,0.147,0,0
Attrited Customer,52,M,1,36,2,3,3,24,0.987,1,0
Existing Customer,44,M,3,33,3,3,3,34516,0,0,0
Existing Customer,41,M,2,30,5,3,3,9885,0.11,0,0
Existing Customer,44,M,4,34,4,1,2,19988,0.073,0,0
Attrited Customer,53,F,2,33,2,3,3,342,0.88,1,1
Existing Customer,39,M,2,36,4,2,2,3794,0.28,0,0
Attrited Customer,49,M,5,45,2,2,3,1438.3,0,1,0
Attrited Customer,45,F,2,36,1,3,2,3387,0,1,1
Existing Customer,54,M,2,46,6,2,3,693,0.65,0,0
Existing Customer,49,M,3,43,2,2,2,2995,0.355,0,0
Existing Customer,46,F,3,36,6,3,2,523,0.761,0,1
Attrited Customer,46,M,4,30,3,3,3,2442,0,1,0
Existing Customer,47,M,3,38,4,1,2,19772,0.072,0,0
Existing Customer,44,M,2,36,5,1,2,5097,0.327,0,0
Existing Customer,50,M,3,31,4,1,2,1748,0.459,0,0
Existing Customer,73,M,0,36,5,3,2,3344,0.252,0,0
Existing Customer,56,M,3,46,6,3,4,2201,0.244,0,0
Attrited Customer,59,M,0,48,2,4,3,2562,0.291,1,0
Existing Customer,70,M,0,56,3,2,3,1757,0.46,0,0
Existing Customer,55,F,2,36,4,3,3,1206,0.489,0,1
Existing Customer,43,M,4,36,4,1,0,21369,0.043,0,0
Existing Customer,45,M,1,39,4,2,2,1623,0.482,0,0
Existing Customer,45,F,2,35,2,3,0,2691,0.24,0,1
Existing Customer,40,M,1,23,6,3,2,5612,0.197,0,0
Existing Customer,36,M,2,22,2,2,3,32864,0.048,0,0
Attrited Customer,59,F,0,40,1,4,1,1438.3,0,1,1
Existing Customer,43,M,4,35,6,3,2,23225,0.048,0,0
Existing Customer,46,F,1,36,2,3,2,331,0.866,0,1
Existing Customer,41,M,2,32,5,1,3,4419,0.152,0,0
Existing Customer,51,F,2,46,5,2,2,3557,0.317,0,1
Existing Customer,51,F,3,25,2,2,2,8430,0.114,0,1
Existing Customer,43,F,4,23,6,3,2,757,0.762,0,1
Attrited Customer,64,F,0,53,1,3,3,3353,0,1,1
Existing Customer,54,M,5,38,3,3,3,856,0.626,0,0
Existing Customer,48,M,3,43,6,1,3,4164,0.211,0,0
Existing Customer,40,M,2,29,5,3,0,23603,0,0,0
Existing Customer,57,M,0,45,6,2,2,2601,0,0,0
Existing Customer,45,M,4,40,4,3,0,5334,0.162,0,0
Existing Customer,41,M,3,36,4,3,3,6453,0.196,0,0
Existing Customer,42,F,4,31,2,2,2,641,0.734,0,1
Attrited Customer,45,M,2,36,1,1,2,3401,0,1,0
Existing Customer,42,F,4,23,4,2,0,1253,0.446,0,1
Existing Customer,47,M,4,30,5,2,2,15201,0.14,0,0
Existing Customer,48,F,4,42,3,1,3,3106,0.262,0,1
Existing Customer,43,M,1,37,4,3,2,33076,0.042,0,0
Existing Customer,41,M,4,36,4,3,0,20850,0.094,0,0
Existing Customer,54,F,1,44,5,2,3,3845,0.308,0,1
Attrited Customer,54,F,2,44,3,3,1,6094,0,1,1
Existing Customer,61,M,0,52,3,1,2,940,0.68,0,0
Existing Customer,61,M,0,48,2,1,0,4088,0.238,0,0
Attrited Customer,48,M,2,36,3,3,3,27126,0,1,0
Existing Customer,45,F,4,36,6,3,2,825,0.753,0,1
Attrited Customer,54,F,4,40,6,2,2,311,0.877,1,1
Existing Customer,54,F,3,46,2,2,3,524,0.724,0,1
Existing Customer,44,M,3,37,2,3,2,12843,0.117,0,0
Existing Customer,50,F,4,36,2,3,2,913,0.638,0,1
Existing Customer,55,M,2,36,3,4,3,14745,0.102,0,0
Existing Customer,48,M,2,36,5,1,2,11350,0.131,0,0
Existing Customer,45,M,2,33,6,3,0,21404,0.078,0,0
Existing Customer,60,M,0,36,5,1,3,2444,0.255,0,0
Existing Customer,55,M,2,47,5,3,2,879,0.716,0,0
Existing Customer,62,F,0,52,5,2,3,802,0.609,0,1
Existing Customer,38,F,1,30,2,3,0,855.3,0.405,0,1
Existing Customer,46,M,3,39,2,3,2,8014,0.15,0,0
Existing Customer,50,M,0,45,5,2,3,12635,0.154,0,0
Existing Customer,45,M,2,36,5,3,2,878,0.605,0,0
Existing Customer,47,M,3,37,6,3,0,4154,0.275,0,0
Existing Customer,48,M,4,33,2,2,3,32455,0.06,0,0
Existing Customer,35,M,3,22,5,2,2,5855,0.162,0,0
Existing Customer,51,M,2,42,3,3,0,22514,0.07,0,0
Existing Customer,36,F,3,24,4,1,1,15439,0,0,1
Existing Customer,47,M,4,36,6,3,2,19607,0.094,0,0
Existing Customer,52,M,2,37,2,3,2,14543,0,0,0
Existing Customer,43,F,4,36,2,1,1,7209,0.256,0,1
Existing Customer,63,M,2,36,2,2,2,4077,0.186,0,0
Existing Customer,61,M,0,54,3,2,0,569,0.648,0,0
Existing Customer,53,M,2,40,5,2,2,19116,0,0,0
Existing Customer,53,F,3,47,5,6,2,536,0.806,0,1
Attrited Customer,57,M,3,38,2,3,3,6868,0.167,1,0
Existing Customer,38,F,2,31,2,3,2,11887,0.153,0,1
Existing Customer,53,M,3,43,5,3,2,3095,0.412,0,0
Existing Customer,63,F,0,54,4,2,1,508,0.79,0,1
Existing Customer,49,F,4,43,4,2,0,756,0.732,0,1
Existing Customer,45,M,2,34,5,5,2,10979,0.123,0,0
Existing Customer,67,M,0,56,4,2,1,4579,0.221,0,0
Existing Customer,48,M,3,37,3,2,3,34516,0,0,0
Existing Customer,51,F,2,38,4,1,2,7722,0.2,0,1
Existing Customer,52,M,2,40,3,3,3,32339,0.063,0,0
Existing Customer,55,F,2,35,3,3,0,649,0.785,0,1
Existing Customer,34,M,3,26,4,3,3,748,0.771,0,0
Existing Customer,56,M,1,36,3,2,2,4686,0.224,0,0
Existing Customer,44,F,2,36,3,3,2,470,0.795,0,1
Existing Customer,47,M,3,36,6,2,2,10894,0.187,0,0
Existing Customer,46,F,3,38,4,3,3,1800,0.583,0,1
Existing Customer,43,F,3,29,5,2,0,2309,0.316,0,1
Existing Customer,50,F,1,36,4,1,3,2770,0.447,0,1
Existing Customer,38,F,4,30,4,1,0,964,0.625,0,1
Existing Customer,53,F,1,45,3,1,2,1686,0.514,0,1
Existing Customer,43,M,5,31,5,3,3,32817,0.049,0,0
Existing Customer,53,M,1,36,6,3,2,1468,0.557,0,0
Existing Customer,56,F,1,38,4,3,3,116,0.955,0,1
Attrited Customer,54,M,2,44,4,3,2,385,0.867,1,0
Existing Customer,57,F,3,39,3,2,1,421,0.846,0,1
Existing Customer,62,M,1,53,5,3,3,506,0.756,0,0
Existing Customer,46,F,4,40,5,1,2,4323,0.31,0,1
Existing Customer,49,M,2,44,6,3,0,6259,0.2,0,0
Existing Customer,52,M,3,42,6,3,3,1039,0.62,0,0
Attrited Customer,58,M,1,36,2,4,3,901.3,0.373,1,0
Existing Customer,54,M,0,36,3,1,2,14576,0.105,0,0
Existing Customer,49,M,1,39,3,2,3,34516,0,0,0
Existing Customer,58,F,3,47,6,1,0,170,0.935,0,1
Existing Customer,52,M,2,45,5,3,2,6394,0.155,0,0
Existing Customer,41,M,5,33,5,3,3,20253,0.111,0,0
Existing Customer,62,F,0,50,5,1,2,2143,0.435,0,1
Existing Customer,54,M,2,39,4,4,2,185,0.932,0,0
Existing Customer,40,F,3,35,3,1,3,438,0.829,0,1
Existing Customer,43,M,3,26,5,3,2,1265,0.463,0,0
Existing Customer,53,F,2,42,6,2,0,5332,0,0,1
Existing Customer,55,M,1,49,6,3,2,68,0.953,0,0
Existing Customer,46,M,4,39,6,2,3,9986,0.07,0,0
Existing Customer,41,M,1,25,3,2,0,6481,0.188,0,0
Existing Customer,49,M,3,32,3,2,2,16067,0.135,0,0
Existing Customer,61,F,0,56,4,1,3,4120,0.262,0,1
Existing Customer,46,M,2,38,6,3,2,32351,0.063,0,0
Existing Customer,50,F,1,43,6,3,4,1438.3,0,0,1
Existing Customer,40,M,2,24,5,1,0,447,0.82,0,0
Existing Customer,51,M,4,46,6,3,3,32242,0.066,0,0
Existing Customer,50,F,2,44,6,2,3,899,0.616,0,1
Existing Customer,47,F,2,36,6,3,2,2726,0,0,1
Existing Customer,43,M,4,39,3,3,3,14033,0.057,0,0
Existing Customer,36,F,4,36,6,3,3,659,0.595,0,1
Existing Customer,47,F,2,34,5,2,2,1512,0.521,0,1
Existing Customer,46,F,2,41,5,3,0,3475,0.268,0,1
Existing Customer,46,M,2,36,5,3,2,17942,0.09,0,0
Existing Customer,52,M,0,36,3,3,2,21927,0.035,0,0
Existing Customer,43,M,4,36,5,3,0,6330,0.221,0,0
Existing Customer,40,F,4,27,6,2,3,2230,0.405,0,1
Existing Customer,54,F,4,36,3,5,3,183,0.885,0,1
Existing Customer,55,F,1,43,4,2,0,1166,0.546,0,1
Existing Customer,49,F,4,44,6,3,2,16620,0.087,0,1
Existing Customer,45,M,4,34,6,3,3,1338,0.569,0,0
Existing Customer,49,M,3,41,5,3,2,846,0.648,0,0
Existing Customer,63,M,1,36,5,2,3,22616,0.08,0,0
Existing Customer,40,F,3,36,3,2,3,14808,0.047,0,1
Existing Customer,41,F,2,33,4,2,0,10051,0.183,0,1
Existing Customer,37,M,4,26,6,2,3,1028,0.639,0,0
Existing Customer,58,M,2,49,6,2,3,7994,0.183,0,0
Existing Customer,55,M,2,36,4,3,3,4850,0.329,0,0
Existing Customer,53,F,1,48,6,3,2,748,0.678,0,1
Existing Customer,57,M,2,40,3,2,3,10228,0.162,0,0
Attrited Customer,43,M,4,30,2,5,3,4092,0.274,1,0
Existing Customer,58,M,1,46,3,3,2,8404,0.161,0,0
Existing Customer,64,M,0,56,6,1,0,300,0.865,0,0
Existing Customer,54,F,2,44,3,2,3,547,0.73,0,1
Existing Customer,53,M,2,47,6,2,2,5201,0.183,0,0
Existing Customer,39,F,3,25,6,1,2,1912,0.512,0,1
Existing Customer,56,M,3,36,5,1,3,7993,0.134,0,0
Existing Customer,54,F,4,49,6,1,1,8088,0.137,0,1
Existing Customer,59,F,1,46,5,3,3,598,0.692,0,1
Existing Customer,42,M,3,36,3,1,0,8045,0.162,0,0
Existing Customer,42,M,4,28,5,1,2,27359,0.03,0,0
Existing Customer,43,M,3,39,3,3,1,23188,0.067,0,0
Existing Customer,55,M,0,49,5,3,3,1572,0.587,0,0
Existing Customer,52,M,1,37,5,2,2,1427,0.478,0,0
Existing Customer,46,M,1,27,6,3,3,11528,0.098,0,0
Attrited Customer,57,M,2,40,3,3,3,1986,0.361,1,0
Existing Customer,48,M,3,42,3,3,0,7477,0,0,0
Existing Customer,45,M,4,33,6,1,3,32430,0.06,0,0
Existing Customer,48,M,2,36,6,5,2,27869,0.07,0,0
Existing Customer,47,M,1,36,5,3,0,4476,0.312,0,0
Attrited Customer,42,M,3,34,3,3,3,13450,0,1,0
Existing Customer,41,M,2,36,6,2,0,27000,0,0,0
Existing Customer,51,M,4,31,5,2,1,33262,0.036,0,0
Existing Customer,55,F,2,47,5,3,2,6347,0,0,1
Existing Customer,67,M,1,49,4,3,2,1431,0.539,0,0
Existing Customer,39,M,1,31,4,1,1,1623,0.36,0,0
Existing Customer,54,M,3,35,6,3,0,11094,0.15,0,0
Existing Customer,55,F,2,37,3,3,1,1485,0.395,0,1
Existing Customer,47,M,3,36,3,2,2,14889,0.077,0,0
Existing Customer,49,M,2,38,3,2,0,6112,0.243,0,0
Attrited Customer,42,F,2,23,3,3,3,256,0.867,1,1
Existing Customer,57,M,2,36,3,3,2,610,0.805,0,0
Existing Customer,44,M,5,36,3,3,2,7191,0.168,0,0
Existing Customer,56,M,3,49,3,1,3,1438.3,0,0,0
Attrited Customer,49,F,3,38,6,3,2,2185,0,1,1
Existing Customer,45,M,3,32,5,2,2,21970,0.103,0,0
Existing Customer,63,M,0,36,6,2,3,2567,0,0,0
Existing Customer,44,M,3,33,6,3,3,3346,0.19,0,0
Existing Customer,44,F,4,37,3,2,2,8860,0.179,0,1
Existing Customer,40,M,3,33,4,3,3,5883,0.145,0,0
Attrited Customer,39,M,2,36,5,3,3,12662,0.093,1,0
Existing Customer,42,M,4,30,6,1,0,27885,0.064,0,0
Existing Customer,54,M,3,43,4,1,1,13219,0,0,0
Attrited Customer,58,F,4,46,2,3,3,2536,0,1,1
Existing Customer,46,F,4,36,5,3,1,8658,0.087,0,1
Existing Customer,47,F,4,34,6,1,2,1651,0.529,0,1
Existing Customer,67,F,0,56,4,3,3,8121,0.227,0,1
Existing Customer,50,F,2,36,3,3,0,1491,0,0,1
Existing Customer,55,M,0,46,6,1,2,9734,0,0,0
